#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,入手時期集村(0=or/1=and),初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ランポスフォールド,0,1,1,1,1,2,0,8,56,0,0,0,-2,0,水属性攻撃,4,,,,,,,,,ランポスの鱗,3,ランポスの皮,2,ファンゴの毛皮,1,大地の結晶,2
ランポスコート,0,2,1,1,1,2,0,4,28,0,1,1,-2,0,水属性攻撃,4,,,,,,,,,ランポスの鱗,3,ランポスの皮,2,ファンゴの毛皮,1,大地の結晶,2
ギアノスフォールド,0,1,1,1,1,2,0,8,56,0,0,-1,2,0,だるま,5,睡眠,-5,,,,,,,ギアノスの皮,3,ギアノスの鱗,1,大地の結晶,2,ファンゴの毛皮,1
ギアノスコート,0,2,1,1,1,2,0,4,28,0,0,-1,3,0,だるま,4,睡眠,-5,,,,,,,ギアノスの皮,3,ギアノスの鱗,1,大地の結晶,2,ファンゴの毛皮,1
ゲネポスフォールド,0,1,1,2,1,2,0,10,58,0,0,1,-2,0,麻痺,2,毒,-2,,,,,,,ゲネポスの皮,4,ゲネポスの鱗,3,鉄鉱石,2,鳥竜種の牙,4
ゲネポスコート,0,2,1,2,1,2,0,5,29,1,0,2,-2,0,麻痺,1,毒,-2,,,,,,,ゲネポスの皮,4,ゲネポスの鱗,3,鉄鉱石,2,鳥竜種の牙,4
ランゴフォールド,0,1,1,0,2,3,0,10,58,-2,1,1,1,2,納刀,5,,,,,,,,,ランゴスタの甲殻,4,鉄鉱石,4,円盤石,3,,
ランゴコート,0,2,1,0,2,3,0,5,29,-2,2,2,2,3,納刀,5,,,,,,,,,ランゴスタの甲殻,4,鉄鉱石,4,円盤石,3,,
タロスフォールド,0,1,1,1,1,3,0,10,58,-1,-1,-1,-1,4,龍耐性,4,,,,,,,,,カンタロスの羽,2,カンタロスの甲殻,4,セッチャクロアリ,3,モンスターの体液,1
タロスコート,0,2,1,1,1,3,0,5,29,-1,-1,-1,-1,6,龍耐性,4,,,,,,,,,カンタロスの羽,2,カンタロスの甲殻,4,セッチャクロアリ,3,モンスターの体液,1
ブナハコイル,0,1,1,0,1,2,0,10,58,-2,0,0,0,2,特殊攻撃,3,火耐性,-2,,,,,,,飛甲虫の羽,3,飛甲虫の甲殻,2,モンスターの体液,1,キラビートル,2
ブナハコート,0,2,1,0,1,2,0,5,29,-2,1,1,1,3,特殊攻撃,3,火耐性,-2,,,,,,,飛甲虫の羽,3,飛甲虫の甲殻,2,モンスターの体液,1,キラビートル,2
モスヒップ,0,0,1,2,1,1,0,5,29,0,0,0,0,0,食いしん坊,1,,,,,,,,,モスの苔皮,1,ファンゴの毛皮,2,大猪の皮,1,セッチャクロアリ,1
リノプロコイル,0,1,1,1,1,2,0,12,60,2,0,0,-2,0,水属性攻撃,1,砲術,1,,,,,,,草食竜の甲殻,2,草食竜の頭殻,1,大地の結晶,2,,
リノプロコート,0,2,1,1,1,2,0,6,30,3,0,0,-2,0,水属性攻撃,1,砲術,1,,,,,,,草食竜の甲殻,2,草食竜の頭殻,1,大地の結晶,2,,
ファンゴフォールド,0,1,1,1,1,2,0,12,60,0,2,-2,1,0,底力,3,加護,-3,,,,,,,大猪の皮,3,大きな骨,3,鉄鉱石,5,,
ファンゴコート,0,2,1,1,1,2,0,6,30,0,3,-2,1,0,底力,3,加護,-3,,,,,,,大猪の皮,3,大きな骨,3,鉄鉱石,5,,
アシラフォールド,0,1,1,3,2,2,0,14,62,-2,0,-2,0,0,,,,,,,,,,,青熊獣の毛,2,青熊獣の甲殻,1,大きな骨,1,セッチャクロアリ,3
アシラコート,0,2,1,3,2,2,0,7,31,-2,0,-2,0,0,,,,,,,,,,,青熊獣の毛,2,青熊獣の甲殻,1,大きな骨,1,セッチャクロアリ,3
ガレオスフォールド,0,1,1,1,1,2,0,14,62,2,0,0,-3,0,耐暑,5,耐寒,-5,,,,,,,砂竜の鱗,5,砂竜の牙,2,竜骨【中】,2,ハレツアロワナ,5
ガレオスコート,0,2,1,1,1,2,0,7,31,2,0,0,-3,0,耐暑,5,耐寒,-5,,,,,,,砂竜の鱗,5,砂竜の牙,2,竜骨【中】,2,ハレツアロワナ,5
ブレイブベルト,0,0,2,1,99,4,0,8,33,0,0,0,0,0,火属性攻撃,3,乗り,2,,,,,,,ベルナチケット,1,ドラグライト鉱石,2,暖かい毛皮,1,ランポスの皮,2
アロイコイル,0,1,2,0,2,3,0,12,62,-1,0,-1,-1,0,風圧,3,,,,,,,,,ライトクリスタル,1,マカライト鉱石,2,鉄鉱石,3,,
アロイコート,0,2,2,0,2,3,0,6,31,-1,0,-1,-1,0,風圧,3,,,,,,,,,ライトクリスタル,1,マカライト鉱石,2,鉄鉱石,3,,
バトルフォールド,0,1,2,0,3,4,0,12,62,1,-1,-1,0,0,ガード性能,4,攻撃,2,,,,,,,翼蛇竜の皮,2,暖かい毛皮,2,ランポスの皮,3,大地の結晶,2
バトルコート,0,2,2,0,3,4,0,6,31,2,-1,-1,0,0,反動,4,攻撃,1,,,,,,,翼蛇竜の皮,2,暖かい毛皮,2,ランポスの皮,3,大地の結晶,2
インゴットコイル,0,1,2,2,3,4,0,14,64,-1,-1,1,0,0,風圧,1,氷属性攻撃,1,運気,-1,,,,,ドラグライト鉱石,4,紅蓮石,1,氷結晶,3,マカライト鉱石,5
インゴットコート,0,2,2,2,3,4,0,7,32,-1,-1,2,0,0,風圧,1,氷属性攻撃,1,運気,-1,,,,,ドラグライト鉱石,4,紅蓮石,1,氷結晶,3,マカライト鉱石,5
ハイメタフォールド,0,1,2,2,3,4,0,14,64,0,-1,2,-1,0,聴覚保護,2,加護,-1,,,,,,,ドラグライト鉱石,2,マカライト鉱石,5,鉄鉱石,2,とがった牙,2
ハイメタコート,0,2,2,2,3,4,0,7,32,0,-1,3,-1,0,聴覚保護,2,加護,-1,,,,,,,ドラグライト鉱石,2,マカライト鉱石,5,鉄鉱石,2,とがった牙,2
メルホアオッハ,0,1,2,2,1,3,0,12,62,0,1,1,0,0,採取,2,,,,,,,,,ドスビスカス,1,ライトクリスタル,1,不死虫,4,ネムリ草,2
メルホアブラット,0,2,2,2,1,3,0,6,31,0,1,1,0,0,採取,1,,,,,,,,,ドスビスカス,1,ライトクリスタル,1,不死虫,4,ネムリ草,2
マカルパコイル,0,1,2,1,1,2,0,14,64,1,2,-2,0,0,調合成功率,4,,,,,,,,,春夜鯉,1,砂竜の鱗,3,小金魚,2,調合書①入門編,1
マカルパナジュワ,0,2,2,1,1,2,0,7,32,1,3,-2,0,0,調合成功率,3,,,,,,,,,春夜鯉,1,砂竜の鱗,3,小金魚,2,調合書①入門編,1
ビストロサロン,0,1,2,1,2,3,0,12,62,3,1,0,2,0,食事,2,回復量,-1,,,,,,,ビストロチケット,1,ブヨブヨした皮,4,クーラーミート,10,,
ビストロエプロン,0,2,2,1,2,3,0,6,31,4,1,0,3,0,食事,1,回復量,-1,,,,,,,ビストロチケット,1,ブヨブヨした皮,4,クーラーミート,10,,
オウビートアンカ,1,1,2,0,2,4,0,18,68,2,-2,2,-2,3,体術,3,スタミナ,-2,,,,,,,オオツノアゲハ,1,ベアライト石,1,アルビノエキス,3,電気袋,1
オウビートコクサ,1,2,2,0,2,4,0,9,34,3,-2,2,-2,4,体術,3,スタミナ,-2,,,,,,,オオツノアゲハ,1,ベアライト石,1,アルビノエキス,3,電気袋,1
パピメルアンカ,2,1,2,0,2,4,0,18,68,2,-2,2,-2,3,体術,3,スタミナ,-2,,,,,,,オオツノアゲハ,1,ベアライト石,1,アルビノエキス,3,電気袋,1
パピメルコクサ,2,2,2,0,2,4,0,9,34,3,-2,2,-2,4,体術,3,スタミナ,-2,,,,,,,オオツノアゲハ,1,ベアライト石,1,アルビノエキス,3,電気袋,1
デスギアナーベル,0,1,2,0,2,3,0,16,66,2,1,1,-1,0,狂撃耐性,5,回避性能,-3,,,,,,,禍々しい布,1,イーオスの紫鱗,3,竜骨【大】,2,セッチャクロアリ,2
デスギアガイツ,0,2,2,0,2,3,0,8,33,3,1,1,-1,0,狂撃耐性,5,回避性能,-3,,,,,,,禍々しい布,1,イーオスの紫鱗,3,竜骨【大】,2,セッチャクロアリ,2
マギュルオッハ,1,1,2,2,2,3,0,14,64,-3,1,0,2,0,火属性攻撃,4,,,,,,,,,ペピポパンプキン,1,ベアライト石,3,ハリの実,10,霜ふり草,10
マギュルブラット,1,2,2,2,2,3,0,7,32,-3,2,0,3,0,火属性攻撃,3,,,,,,,,,ペピポパンプキン,1,ベアライト石,3,ハリの実,10,霜ふり草,10
エーデルオッハ,0,1,2,1,1,3,0,14,64,-1,3,-1,0,0,広域,4,,,,,,,,,星見の花,1,水袋,1,ツタの葉,8,ユクモの木,1
エーデルブラット,0,2,2,1,1,3,0,7,32,-1,4,-1,0,0,広域,4,,,,,,,,,星見の花,1,水袋,1,ツタの葉,8,ユクモの木,1
スカルダアンカ,1,1,2,0,1,1,0,18,68,3,-1,-1,-1,3,達人,3,特殊会心,3,攻撃,-2,,,,,毒クモリ,1,カンタロスの羽,3,毒袋,2,セッチャクロアリ,5
スカルダコクサ,1,2,2,0,1,1,0,9,34,4,-1,-1,-1,3,達人,3,特殊会心,3,攻撃,-2,,,,,毒クモリ,1,カンタロスの羽,3,毒袋,2,セッチャクロアリ,5
スパイオアンカ,2,1,2,0,1,1,0,18,68,3,-1,-1,-1,3,達人,3,特殊会心,3,攻撃,-2,,,,,毒クモリ,1,カンタロスの羽,3,毒袋,2,セッチャクロアリ,5
スパイオコクサ,2,2,2,0,1,1,0,9,34,4,-1,-1,-1,3,達人,3,特殊会心,3,攻撃,-2,,,,,毒クモリ,1,カンタロスの羽,3,毒袋,2,セッチャクロアリ,5
ドロスフォールド,0,1,2,2,1,3,0,12,62,-2,4,-1,0,0,節食,2,,,,,,,,,水生獣の皮,5,竜骨【小】,5,暖かい毛皮,3,とがった爪,3
ドロスコート,0,2,2,2,1,3,0,6,31,-2,5,-1,0,0,節食,2,,,,,,,,,水生獣の皮,5,竜骨【小】,5,暖かい毛皮,3,とがった爪,3
コトルフォールド,0,1,2,0,3,4,0,14,64,4,-2,0,-1,0,ガード強化,4,,,,,,,,,溶岩獣の鱗,4,マカライト鉱石,4,ドスヘラクレス,4,暖かい毛皮,2
コトルコート,0,2,2,0,3,4,0,7,32,5,-2,0,-1,0,変則射撃,4,,,,,,,,,溶岩獣の鱗,4,マカライト鉱石,4,ドスヘラクレス,4,暖かい毛皮,2
ムーファコイル,0,1,2,0,1,3,0,14,64,-1,0,2,3,0,雷属性攻撃,4,耐寒,2,,,,,,,雲羊鹿の角,1,雲羊鹿の毛玉,2,とがった爪,2,,
ムーファコート,0,2,2,0,1,3,0,7,32,-1,0,3,4,0,雷属性攻撃,4,耐寒,1,,,,,,,雲羊鹿の角,1,雲羊鹿の毛玉,2,とがった爪,2,,
ガブラスーツベルト,0,1,2,1,3,4,0,10,60,1,1,1,1,2,運気,2,加護,-2,,,,,,,縞模様の皮,5,キラビートル,2,マカライト鉱石,3,鳥竜種の牙,2
ガブラスーツバンド,0,2,2,1,3,4,0,5,30,1,1,1,1,3,運気,2,加護,-2,,,,,,,縞模様の皮,5,キラビートル,2,マカライト鉱石,3,鳥竜種の牙,2
イーオスフォールド,0,1,2,1,2,3,0,14,64,2,-1,-1,0,0,観察眼,2,毒,1,気絶,-1,,,,,イーオスの大皮,3,イーオスの紫鱗,2,イーオスの鱗,2,マカライト鉱石,3
イーオスコート,0,2,2,1,2,3,0,7,32,3,-1,-1,0,0,毒,1,観察眼,1,気絶,-1,,,,,イーオスの大皮,3,イーオスの紫鱗,2,イーオスの鱗,2,マカライト鉱石,3
クックフォールド,0,1,2,0,1,3,0,16,66,4,-1,0,-3,0,攻撃,2,防御,-2,,,,,,,怪鳥の鱗,2,怪鳥の甲殻,3,竜骨【中】,1,,
クックコート,0,2,2,0,1,3,0,8,33,5,-1,0,-3,0,攻撃,2,防御,-2,,,,,,,怪鳥の鱗,2,怪鳥の甲殻,3,竜骨【中】,1,,
ウルクフォールド,0,1,2,1,1,3,0,14,64,-3,1,0,4,0,回避性能,2,体力,-2,,,,,,,白兎獣の毛,3,白兎獣の氷爪,1,大きな骨,2,キラビートル,3
ウルクコート,0,2,2,1,1,3,0,7,32,-3,1,0,5,0,回避性能,2,体力,-2,,,,,,,白兎獣の毛,3,白兎獣の氷爪,1,大きな骨,2,キラビートル,3
ゲリョスフォールド,0,1,2,0,1,3,0,16,66,-3,1,4,-1,0,毒,3,スタミナ,3,腹減り,-3,,,,,毒怪鳥の翼膜,2,毒袋,3,大地の結晶,2,,
ゲリョスコート,0,2,2,0,1,3,0,8,33,-3,1,5,-1,0,毒,3,スタミナ,3,腹減り,-3,,,,,毒怪鳥の翼膜,2,毒袋,3,大地の結晶,2,,
カブラフォールド,0,1,2,1,1,3,0,18,68,2,-3,-1,0,1,耐震,3,睡眠,-3,,,,,,,鬼蛙の鱗,3,草食竜の頭殻,2,大きな骨,3,なぞの骨,4
カブラコート,0,2,2,1,1,3,0,9,34,3,-3,-1,0,1,耐震,3,睡眠,-3,,,,,,,鬼蛙の鱗,3,草食竜の頭殻,2,大きな骨,3,なぞの骨,4
ザザミフォールド,0,1,2,0,1,3,0,20,70,-1,3,-3,0,1,ガード性能,4,体術,-3,,,,,,,盾蟹の甲殻,3,盾蟹の小殻,2,とがった爪,4,竜骨【小】,5
ザザミコート,0,2,2,0,1,3,0,10,35,-1,4,-3,0,1,反動,4,装填速度,-3,,,,,,,盾蟹の甲殻,3,盾蟹の小殻,2,とがった爪,4,竜骨【小】,5
ラングロフォールド,0,1,2,1,3,4,0,18,68,2,-3,0,-1,1,細菌学,4,気力回復,-2,,,,,,,赤甲獣の甲殻,3,麻痺袋,4,モンスターの体液,1,紅蓮石,1
ラングロコート,0,2,2,1,3,4,0,9,34,3,-3,0,-1,1,細菌学,3,気力回復,-2,,,,,,,赤甲獣の甲殻,3,麻痺袋,4,モンスターの体液,1,紅蓮石,1
ルドロスフォールド,0,1,2,1,1,3,0,18,68,-3,4,-1,0,0,気力回復,4,回避性能,-3,,,,,,,水獣の鱗,3,未熟な海綿質,5,水獣の尻尾,1,キラビートル,2
ルドロスコート,0,2,2,1,1,3,0,9,34,-3,5,-1,0,0,気力回復,4,回避性能,-3,,,,,,,水獣の鱗,3,未熟な海綿質,5,水獣の尻尾,1,キラビートル,2
ホロロフォールド,0,1,2,0,2,4,0,18,68,-2,-2,1,1,0,睡眠,4,痛撃,2,,,,,,,夜鳥の翼膜,3,夜鳥の尾羽,2,鉄鉱石,5,睡眠袋,2
ホロロコート,0,2,2,0,2,4,0,9,34,-1,-2,1,1,0,睡眠,4,痛撃,2,,,,,,,夜鳥の翼膜,3,夜鳥の尾羽,2,鉄鉱石,5,睡眠袋,2
フルフルフォールド,0,1,2,0,2,3,0,18,68,-4,1,4,2,1,回復量,4,,,,,,,,,ブヨブヨした皮,2,鉄鉱石,8,ゴム質の皮,1,,
フルフルコート,0,2,2,0,2,3,0,9,34,-4,1,5,2,1,回復量,4,,,,,,,,,ブヨブヨした皮,2,鉄鉱石,8,ゴム質の皮,1,,
レイアフォールド,0,1,2,0,2,4,0,20,70,3,0,-2,0,-3,体力,2,回復量,2,回復速度,-2,,,,,雌火竜の翼膜,2,火炎袋,2,マカライト鉱石,5,ゲネポスの大皮,2
レイアコート,0,2,2,0,2,4,0,10,35,4,0,-2,0,-3,体力,2,回復量,1,回復速度,-2,,,,,雌火竜の翼膜,2,火炎袋,2,マカライト鉱石,5,ゲネポスの大皮,2
ハプルフォールド,0,1,2,2,2,3,0,20,70,2,0,-1,-3,1,食いしん坊,4,回復量,-1,,,,,,,潜口竜の皮,3,潜口竜の頭殻,1,竜骨【大】,3,甲虫の腹袋,4
ハプルコート,0,2,2,2,2,3,0,10,35,3,0,-1,-3,1,食いしん坊,4,回復量,-1,,,,,,,潜口竜の皮,3,潜口竜の頭殻,1,竜骨【大】,3,甲虫の腹袋,4
ブランゴフォールド,0,1,2,0,2,4,0,18,68,-4,1,0,4,0,氷属性攻撃,2,体術,2,スタミナ,-2,,,,,ブランゴの毛,4,獣骨,2,大きな骨,3,ベアライト石,4
ブランゴコート,0,2,2,0,2,4,0,9,34,-4,1,0,5,0,氷属性攻撃,2,体術,2,スタミナ,-2,,,,,ブランゴの毛,4,獣骨,2,大きな骨,3,ベアライト石,4
ギザミフォールド,0,1,2,0,2,4,0,20,70,1,2,-1,-1,0,達人,3,斬れ味,2,雷耐性,-2,,,,,鎌蟹の甲殻,2,鎌蟹の小殻,4,マカライト鉱石,2,キラビートル,1
ギザミコート,0,2,2,0,2,4,0,10,35,2,2,-1,-1,0,達人,3,弾薬節約,2,雷耐性,-2,,,,,鎌蟹の甲殻,2,鎌蟹の小殻,4,マカライト鉱石,2,キラビートル,1
ガララフォールド,0,1,2,1,2,4,0,20,70,1,-1,0,-3,1,捕獲,3,聴覚保護,1,加護,-1,,,,,絞蛇竜の甲殻,5,絞蛇竜の牙,4,絞蛇竜の皮,2,竜骨【大】,1
ガララコート,0,2,2,1,2,4,0,10,35,1,-1,1,-3,1,捕獲,2,聴覚保護,1,加護,-1,,,,,絞蛇竜の甲殻,5,絞蛇竜の牙,4,絞蛇竜の皮,2,竜骨【大】,1
ナルガフォールド,0,1,2,3,2,4,0,18,68,-2,1,-3,1,1,,,,,,,,,,,迅竜の黒毛,3,迅竜の尻尾,1,迅竜の鱗,3,キラビートル,6
ナルガコート,0,2,2,3,2,4,0,9,34,-2,1,-2,1,1,,,,,,,,,,,迅竜の黒毛,3,迅竜の尻尾,1,迅竜の鱗,3,キラビートル,6
サージュコイル,0,1,2,1,99,3,0,18,68,0,0,0,0,0,細菌学,3,捕獲,3,底力,-2,,,,,雲羊鹿の毛玉,3,首鳴竜の皮,1,ブヨブヨした皮,2,,
サージュコート,0,2,2,1,99,3,0,9,34,0,0,0,0,0,細菌学,3,捕獲,3,底力,-2,,,,,雲羊鹿の毛玉,3,首鳴竜の皮,1,ブヨブヨした皮,2,,
ヴァイクフォールド,0,1,3,2,3,5,0,20,70,0,3,-2,-1,0,爆弾強化,4,,,,,,,,,ヨロイシダイ,1,上竜骨,1,マカライト鉱石,2,眠魚,5
ヴァイクコート,0,2,3,2,3,5,0,10,35,0,4,-2,-1,0,爆弾強化,4,,,,,,,,,ヨロイシダイ,1,上竜骨,1,マカライト鉱石,2,眠魚,5
ロワーガアンカ,1,1,3,0,3,4,0,20,70,-2,0,3,-2,2,達人,5,気力回復,1,,,,,,,オオクワアゲハ,1,溶岩塊,1,ドスヘラクレス,2,ボンバッタ,10
ロワーガコクサ,1,2,3,0,3,4,0,10,35,-2,0,3,-2,3,達人,4,気力回復,1,,,,,,,オオクワアゲハ,1,溶岩塊,1,ドスヘラクレス,2,ボンバッタ,10
ファルメルアンカ,2,1,3,0,3,4,0,20,70,-2,0,3,-2,2,達人,5,気力回復,1,,,,,,,オオクワアゲハ,1,溶岩塊,1,ドスヘラクレス,2,ボンバッタ,10
ファルメルコクサ,2,2,3,0,3,4,0,10,35,-2,0,3,-2,3,達人,4,気力回復,1,,,,,,,オオクワアゲハ,1,溶岩塊,1,ドスヘラクレス,2,ボンバッタ,10
ガルルガフォールド,0,1,3,1,2,5,0,22,72,2,-1,2,0,0,剣術,2,聴覚保護,1,水耐性,-2,,,,,黒狼鳥の鱗,4,黒狼鳥の甲殻,5,キラビートル,2,竜骨【大】,2
ガルルガコート,0,2,3,1,2,5,0,11,36,3,-1,2,0,0,変則射撃,2,聴覚保護,1,水耐性,-2,,,,,黒狼鳥の鱗,4,黒狼鳥の甲殻,5,キラビートル,2,竜骨【大】,2
ガンキンフォールド,0,1,3,1,3,5,0,26,76,3,-4,0,-1,-2,裂傷,2,抜刀減気,2,,,,,,,爆鎚竜の耐熱殻,2,爆鎚竜の鱗,3,上竜骨,2,赤甲獣の甲殻,3
ガンキンコート,0,2,3,1,3,5,0,13,38,4,-4,0,-1,-2,裂傷,2,散弾強化,2,,,,,,,爆鎚竜の耐熱殻,2,爆鎚竜の鱗,3,上竜骨,2,赤甲獣の甲殻,3
レウスフォールド,0,1,3,2,3,5,0,24,74,4,0,-2,0,-4,攻撃,2,痛撃,2,,,,,,,火竜の翼膜,3,火竜の甲殻,3,竜骨【大】,3,紅蓮石,1
レウスコート,0,2,3,2,3,5,0,12,37,5,0,-2,0,-4,痛撃,2,攻撃,1,,,,,,,火竜の翼膜,3,火竜の甲殻,3,竜骨【大】,3,紅蓮石,1
ラギアフォールド,0,1,3,0,3,5,0,24,74,-3,2,4,-1,-2,気力回復,3,ガード性能,2,特殊攻撃,-2,,,,,海竜の角,1,海竜の背電殻,2,海竜の鱗,4,ドラグライト鉱石,4
ラギアコート,0,2,3,0,3,5,0,12,37,-3,2,5,-1,-2,貫通弾強化,2,気力回復,2,特殊攻撃,-2,,,,,海竜の角,1,海竜の背電殻,2,海竜の鱗,4,ドラグライト鉱石,4
ジンオウフォールド,0,1,3,0,3,6,0,22,72,0,-1,4,-4,1,属性会心,2,本気,2,氷耐性,-2,,,,,雷狼竜の甲殻,3,雷狼竜の帯電毛,2,雷狼竜の尻尾,1,大猪の皮,3
ジンオウコート,0,2,3,0,3,6,0,11,36,0,-1,5,-4,1,属性会心,2,本気,2,氷耐性,-2,,,,,雷狼竜の甲殻,3,雷狼竜の帯電毛,2,雷狼竜の尻尾,1,大猪の皮,3
ミツネフォールド,0,1,3,0,3,5,0,20,70,0,2,-3,1,-1,泡沫,2,腹減り,2,雷耐性,-2,,,,,泡狐竜の尻尾,1,泡狐竜の鱗,3,水袋,3,アルビノエキス,3
ミツネコート,0,2,3,0,3,5,0,10,35,0,2,-2,1,-1,泡沫,2,腹減り,2,雷耐性,-2,,,,,泡狐竜の尻尾,1,泡狐竜の鱗,3,水袋,3,アルビノエキス,3
ゼクスフォールド,0,1,3,0,3,5,0,24,74,0,-2,3,-3,2,気絶,2,連撃,2,氷耐性,-2,,,,,電竜の帯電膜,2,電竜の翼爪,4,圧電甲,4,雷光虫,5
ゼクスコート,0,2,3,0,3,5,0,12,37,0,-2,4,-3,2,気絶,2,連撃,2,氷耐性,-2,,,,,電竜の帯電膜,2,電竜の翼爪,4,圧電甲,4,雷光虫,5
ガムートフォールド,0,1,3,0,3,5,0,26,76,-3,1,-1,3,2,寒冷適応,3,野草知識,2,火耐性,-2,,,,,巨獣の毛,4,巨獣の牙,2,巨獣の赤毛,3,大猪の牙,4
ガムートコート,0,2,3,0,3,5,0,13,38,-3,1,-1,4,2,寒冷適応,2,野草知識,2,火耐性,-2,,,,,巨獣の毛,4,巨獣の牙,2,巨獣の赤毛,3,大猪の牙,4
ディノフォールド,0,1,3,1,3,6,0,24,74,3,-3,1,0,-1,剣術,3,研磨術,1,水耐性,-2,,,,,斬竜の尾刃片,3,斬竜の甲殻,2,斬竜の鱗,3,ドスヘラクレス,3
ディノコート,0,2,3,1,3,6,0,12,37,4,-3,1,0,-1,反動,3,研磨術,1,水耐性,-2,,,,,斬竜の尾刃片,3,斬竜の甲殻,2,斬竜の鱗,3,ドスヘラクレス,3
ゴアフォールド,0,1,3,1,3,6,0,24,74,-2,2,-1,2,-2,狂撃耐性,3,回避性能,1,ガード性能,-2,,,,,黒蝕竜の触角,1,黒蝕竜の暗翼,2,黒蝕竜の甲殻,4,キラビートル,3
ゴアコート,0,2,3,1,3,6,0,12,37,-2,3,-1,2,-2,狂撃耐性,3,回避性能,1,ガード性能,-2,,,,,黒蝕竜の触角,1,黒蝕竜の暗翼,2,黒蝕竜の甲殻,4,キラビートル,3
レギオスフォールド,0,1,3,2,3,6,0,24,74,2,0,-3,-2,0,抜刀会心,2,体術,1,スタミナ,-2,,,,,千刃竜の刃鱗,5,千刃竜の飛刃片,4,千刃竜の翼爪,3,砂竜のヒレ,4
